	Description	MG1999112202AA.CEL	MG1999112204AA.CEL	MG1999112206AA.CEL	MG2000011801AA.CEL	MG2000011803AA.CEL	MG2000011807AA.CEL	MG2000030308AA.CEL	MG2000031503AA.CEL	MG2000032015AA.CEL	MG2000033106AA.CEL	MG2000033107AA.CEL	MG2000033109AA.CEL	MG2000040501AA.CEL	MG2000040502AA.CEL	MG2000040504AA.CEL	MG2000040505AA.CEL	MG2000040508AA.CEL	MG2000040509AA.CEL	MG2000040510AA.CEL	MG2000040511AA.CEL	MG2000040512AA.CEL	MG2000040513AA.CEL	MG2000051201AA.CEL	MG2000051202AA.CEL	MG2000051204AA.CEL	MG2000051205AA.CEL	MG2000051207AA.CEL	MG2000051208AA.CEL	MG2000051209AA.CEL	MG2000051211AA.CEL	MG2000051213AA.CEL	MG2000061902AA.CEL	MG2000061903AA.CEL	MG2000061904AA.CEL	MG2000061905AA.CEL	MG2000061906AA.CEL	MG2000070709AA.CEL	MG2000070710AA.CEL	MG2000070711AA.CEL	MG2000070712AA.CEL	MG2000070713AA.CEL	MG2000071102AA.CEL
U49835_s_at	CHIT1 Chitinase 1	3.25E+03	1.20E+02	5.61E+03	7.49E+03	2.53E+03	2.17E+06	9.01E+02	7.21E+02	5.90E+03	9.27E-01	6.35E-02	1.04E+04	1.27E+00	4.11E+03	9.29E-02	5.89E-02	3.05E+00	9.74E-02	5.03E+01	1.15E-01	6.08E+00	8.45E-01	2.74E+03	7.75E+04	6.30E+02	1.86E+02	4.79E-01	9.57E+04	2.92E+01	4.67E+03	7.02E+04	6.27E-02	8.09E-03	9.80E-03	1.66E-02	1.20E-02	6.37E-02	3.06E-02	7.59E+01	5.93E-02	1.08E+02	1.06E-01
U49837_at	LIM protein MLP mRNA	1.25E+04	6.36E+03	3.39E-01	3.70E+03	2.98E+04	5.07E-01	1.94E+02	8.99E+05	1.98E+05	4.08E-02	4.61E-02	9.34E+01	2.97E+04	3.59E+03	2.86E+00	1.78E+04	1.53E+04	2.33E+06	3.34E+03	2.15E-01	1.24E+05	4.70E+02	1.72E-02	4.85E-02	1.01E-01	4.67E-02	4.79E-02	2.67E+05	4.45E-02	2.13E-02	4.54E-02	6.35E+04	1.27E+04	3.95E+04	1.48E+07	4.21E+04	1.22E+04	2.96E+03	3.63E+03	8.52E+03	2.07E+05	1.32E-01
U49844_at	Protein kinase ATR mRNA	4.34E-02	6.17E-03	2.53E-02	9.30E-02	1.79E-02	1.37E-02	8.66E-03	5.61E-03	4.36E-02	7.98E-03	9.23E-03	2.65E-02	4.20E-03	1.02E-02	8.72E-03	4.35E-03	1.66E-02	3.03E-03	7.03E-03	1.09E-02	2.58E+06	6.13E-03	7.57E-03	1.76E-02	1.97E-02	1.85E-02	5.84E-03	9.73E-03	9.23E-03	1.43E+03	6.63E-02	3.27E-03	3.40E-03	4.06E-03	3.14E-03	3.13E-03	1.41E-02	5.06E-03	7.85E-03	5.29E-03	1.23E-01	1.36E-02
U49857_at	Transcriptional activator mRNA	3.11E+04	1.61E+04	4.59E+03	4.58E+04	5.43E+03	3.84E+03	1.26E+05	1.51E+04	6.00E+03	2.50E+02	8.74E+03	2.34E+04	4.03E+04	3.35E+03	1.14E+04	7.33E+08	3.34E+02	2.07E+02	8.76E+03	2.28E+03	6.25E+03	2.66E+01	8.91E+05	1.23E+05	1.02E+04	4.66E+04	5.68E+04	5.29E+05	1.18E+04	1.17E+06	9.18E+04	5.09E-01	1.74E+01	3.47E+01	6.49E+03	1.12E-01	2.48E+06	8.16E+01	3.94E+05	2.61E+04	3.44E+06	3.70E+03
U49869_rna1_at	Ubiquitin gene	1.15E+04	7.47E+04	1.79E+04	5.99E+02	1.70E+02	7.84E+00	2.09E+02	1.83E+01	1.03E+06	2.74E+01	3.66E+04	8.53E+03	3.39E+00	2.25E+00	4.60E+00	3.69E-02	9.48E+02	7.12E+01	9.11E+01	5.19E+01	9.09E+01	1.22E-01	1.54E+03	5.93E+02	2.22E+03	1.23E+03	2.61E+02	5.15E+02	6.24E+01	1.92E+04	4.36E+01	3.38E-02	1.10E-02	4.30E-02	1.91E-02	1.75E-02	2.49E+01	3.93E-02	9.26E-02	6.62E-02	2.07E+02	3.68E+01
U49928_at	TAK1 binding protein 1 (TAB1) mRNA	1.24E-01	7.37E-02	1.29E-01	2.34E+03	4.70E-02	2.36E-02	1.40E-02	6.84E-03	3.45E+01	7.74E-03	2.79E-03	1.13E-02	1.26E-02	1.17E-02	1.40E-02	5.23E-03	1.75E-02	5.39E-03	8.74E-03	5.98E-03	2.33E-02	2.31E-03	9.89E-03	8.79E-01	3.71E-02	3.97E-02	2.75E-02	4.60E-02	1.36E-02	2.21E-02	2.99E-02	4.73E-03	5.63E-03	8.32E-03	9.51E-03	7.60E-03	1.02E-01	1.68E-02	2.20E-02	2.47E-02	4.19E-02	9.68E-03
U49957_s_at	"LIM protein (LPP) mRNA, partial cds"	8.93E+03	4.19E+03	1.17E+04	5.84E+03	9.82E+04	7.27E+04	2.05E+04	4.56E+02	9.86E+03	3.69E+00	7.87E-02	1.43E+00	2.05E+05	1.15E+04	1.38E+04	4.44E+01	9.67E+04	1.03E+04	5.10E+10	1.07E+02	1.11E+07	8.60E-01	4.86E+03	1.30E+06	1.15E+05	1.03E+04	2.12E+05	2.19E+05	2.48E+04	4.64E+03	2.77E+04	2.65E+05	2.79E+01	3.52E+02	4.41E+03	5.67E+06	9.25E+04	7.68E+04	5.26E+04	1.83E+05	3.31E+05	1.15E+04
U49973_xpt1_at	"ORF1; MER37; putative transposase similar to pogo element from  Human Tigger1 transposable element, complete consensus sequence./ntype=DNA /annot=CDS"	2.89E+04	1.59E+03	4.55E+03	6.55E+05	2.21E+05	7.66E+02	7.63E+01	3.18E+01	5.29E+03	4.21E-02	3.33E-02	4.14E+01	2.99E+03	1.12E+04	4.54E+02	7.86E+00	9.63E+04	3.49E-01	2.22E+01	4.16E+00	1.72E+03	3.88E+03	1.96E+03	1.89E+03	2.42E+02	8.01E+04	1.23E+05	2.38E+06	1.30E+07	4.26E+03	1.40E+03	8.30E+03	7.23E-02	8.75E+02	2.08E-01	1.91E+04	2.44E+04	1.51E+01	6.04E+03	1.34E+02	4.86E+04	1.09E+05
U49973_xpt2_at	"ORF2: function unknown from  Human Tigger1 transposable element, complete consensus sequence./ntype=DNA /annot=CDS"	3.66E+01	4.50E+00	1.46E+03	1.02E+03	5.21E-01	9.91E-02	1.90E+00	5.44E-02	9.87E-01	8.41E-02	4.52E-02	2.92E-02	1.03E-01	1.06E-01	4.80E-01	2.84E+00	1.13E-01	7.32E+01	7.07E-02	9.27E+00	3.41E-01	2.14E-02	1.01E-01	1.46E-01	5.24E-01	5.43E+01	9.37E-02	1.23E-01	6.35E-02	5.15E+00	1.45E-01	3.66E-02	7.14E-01	6.64E-02	2.07E-02	3.47E-02	2.19E+01	1.56E-01	2.38E-01	2.19E+02	1.98E+02	5.37E-01
U49974_f_at	"Mariner2 transposable element, complete consensus sequence"	1.17E+05	5.84E-02	1.03E-01	3.56E+03	1.58E+03	1.14E+03	2.14E-02	2.23E-01	9.65E+03	1.14E-02	2.20E-02	4.24E+01	5.75E-02	5.48E-02	3.65E-02	2.23E-02	1.77E+03	1.85E-02	3.99E-02	5.01E-03	1.17E-01	1.37E-02	8.20E-02	6.92E+03	8.63E+00	1.57E+02	3.28E+00	1.02E+01	1.58E-01	2.68E-01	1.42E+01	1.69E-02	1.01E-02	1.37E-02	5.09E-02	4.24E-02	1.64E-01	1.62E-02	3.44E-01	1.53E-02	1.11E+03	1.33E-01
U50062_at	"Cell death protein (RIP) mRNA, partial cds"	8.37E+01	2.18E-02	1.82E+04	8.47E+01	2.09E+04	8.36E-02	6.62E+01	3.21E-02	1.55E+03	3.67E+00	3.82E-01	1.15E+02	3.55E-02	8.92E-02	9.06E-02	9.95E-02	1.21E-01	2.30E-02	3.56E-02	1.23E+04	4.77E-01	3.46E-02	1.09E-01	3.81E-01	8.86E-02	1.36E+02	4.25E-02	8.59E-02	4.54E-02	4.75E-01	9.67E-01	1.32E-02	4.38E-03	2.40E-02	7.35E-03	1.65E-02	8.38E+00	8.95E-03	2.92E-02	3.55E-02	2.43E+02	1.46E+07
U50078_at	Guanine nucleotide exchange factor p532 mRNA	1.44E+07	3.36E+03	1.60E+04	4.70E+03	1.29E+04	3.94E+05	5.17E+03	9.91E+02	1.05E+05	4.57E+03	1.34E+04	2.18E+04	5.86E+03	4.73E-02	1.17E+04	4.45E-02	3.29E+04	2.80E-01	1.67E+03	7.55E+04	1.21E+04	2.08E+00	3.42E+04	5.77E+02	8.23E+05	1.08E+04	1.66E+03	5.20E+03	3.68E+04	6.80E+03	7.47E+03	4.30E+04	6.77E+05	2.00E+05	1.80E+03	5.48E+04	8.01E+02	1.55E+05	1.68E+04	8.44E+03	4.05E+03	1.62E+05
U50079_s_at	Histone deacetylase HD1 mRNA	1.47E+04	2.03E+05	5.44E+03	7.29E+04	7.90E+04	2.92E+04	2.57E+05	6.03E+04	5.12E+04	4.71E+06	9.33E+04	1.24E+04	2.40E+04	4.09E+04	4.48E+04	8.95E+04	5.52E+05	7.65E+04	8.82E+04	1.03E+06	1.15E+05	7.35E+04	6.67E+03	2.72E+04	1.53E+06	2.77E+04	1.72E+06	7.69E+04	5.97E+04	9.74E+05	8.04E+05	8.22E+04	1.78E+04	8.66E+04	7.26E+03	4.26E+04	1.23E+04	1.60E+04	1.55E+05	7.23E+03	3.95E+06	8.39E+04
U50136_rna1_at	Leukotriene C4 synthase (LTC4S) gene	8.97E-01	8.35E+00	7.10E+02	3.63E+01	2.74E+02	9.96E-02	2.13E+00	4.80E-02	1.86E+04	1.23E-01	5.55E-01	4.47E+03	9.93E-02	2.17E+02	8.83E-02	6.02E-02	4.56E+04	6.46E-02	8.62E-02	1.82E-01	1.89E-01	9.35E-02	1.19E-01	4.08E+01	2.73E-01	9.80E+00	3.94E+03	2.54E+04	1.13E+05	1.09E-01	2.84E+00	4.49E-02	9.37E-03	9.76E-02	1.50E-02	1.93E-02	1.16E-01	1.27E-01	1.01E-01	5.58E-02	3.51E+04	2.29E+03
U50146_at	Neuropeptide y2 receptor mRNA	1.46E+04	1.23E+04	5.26E+01	2.27E+04	1.08E+02	3.24E+01	8.20E+02	1.63E+00	8.40E+06	4.11E+00	1.58E+04	1.05E+05	6.90E-01	4.83E+00	2.03E+03	6.10E+00	1.81E+03	1.40E-01	9.99E-01	3.42E+01	1.78E+02	1.22E+01	7.38E-01	7.59E-01	5.23E+01	5.50E+00	4.33E+01	7.60E+01	2.43E+03	4.76E+01	5.10E-01	2.65E+02	1.08E+01	7.17E+02	2.48E-01	5.88E+01	6.55E+04	5.72E+01	1.82E+01	1.23E+02	1.00E+04	2.53E+03
U50196_at	ADK Adenosine kinase	5.17E+02	4.44E+04	7.04E+03	5.82E+03	8.33E+03	1.11E+01	7.23E+01	6.33E-01	4.22E+02	8.10E+03	3.98E+02	3.07E+04	3.78E-02	1.25E+01	9.10E-01	4.25E-02	1.34E+00	2.38E-02	2.07E-01	6.36E-01	1.18E-01	4.17E-02	2.91E+00	6.46E+02	7.41E+05	2.88E+05	2.58E+00	3.70E-02	7.20E-01	6.22E+01	1.26E+02	1.01E-02	1.08E-02	1.65E-02	8.77E-03	6.99E-03	1.15E+03	1.42E-02	7.62E-02	3.32E-02	4.51E+05	3.92E+02
U50315_at	EZH1 Enhancer of zeste (Drosophila) homolog 1	1.57E+06	1.78E+03	4.26E+03	4.20E+03	9.40E+02	6.08E+03	4.49E+03	8.71E-01	2.21E+05	7.83E+04	1.37E+04	5.31E+06	4.46E+01	5.30E+05	2.46E+03	1.66E+00	8.36E+03	2.50E-01	2.86E+03	3.90E+05	6.77E+01	1.38E+01	1.69E+02	8.41E+06	1.39E+05	8.11E+02	7.76E+02	4.51E-02	2.34E+01	5.77E+04	6.98E+02	6.56E-02	1.98E+01	6.07E+00	1.70E-01	1.48E+01	1.10E-02	1.46E-01	1.16E+03	2.08E+00	6.20E+00	5.20E-02
U50327_s_at	Protein kinase C substrate 80K-H gene (PRKCSH)	4.23E+04	1.73E+03	1.38E-01	1.52E+04	8.95E+01	2.34E+04	5.85E+03	6.64E+04	7.01E+03	3.28E-01	3.48E+00	7.19E+03	3.74E-01	2.95E+04	9.62E+02	2.06E+02	5.60E+04	4.30E+02	1.30E+04	2.20E+00	1.37E+05	6.32E+03	9.09E+02	4.29E-02	6.34E-02	1.21E+04	1.72E+02	4.28E+04	4.20E+05	1.00E-01	5.18E+04	8.88E+03	5.55E+02	5.66E+02	3.49E+01	2.87E+03	4.76E+03	2.37E+04	2.68E+03	2.07E+05	1.45E+05	8.13E+05
U50330_at	BMP1 Bone morphogenetic protein 1	2.56E+04	7.84E+03	1.39E+05	9.86E+04	2.51E+05	8.54E+04	8.80E+03	3.18E+04	6.46E+03	2.80E+04	6.56E+04	1.90E+04	2.70E+04	1.58E+03	4.82E+04	7.46E+03	3.01E+04	1.60E+04	4.71E+04	4.62E+03	1.34E+06	1.34E+04	4.40E+03	1.90E+04	7.56E+05	2.18E+04	2.45E+02	3.92E+05	8.32E+04	1.91E+05	1.62E+04	1.42E+05	3.07E-02	4.72E+04	8.04E-03	6.44E+03	3.08E+03	1.38E+04	7.29E+03	1.63E+04	1.33E+04	1.45E+04
U50360_s_at	"Calcium, calmodulin-dependent protein kinase II gamma mRNA, partial cds"	2.05E+04	3.68E+03	4.98E+05	6.61E+03	4.10E+04	1.54E+04	2.73E+03	4.63E+06	1.82E+05	3.46E+03	9.94E+04	1.98E+05	1.01E+05	9.45E+03	2.83E+05	1.18E+06	1.03E+05	1.24E+05	1.33E+06	1.87E+03	1.26E+04	9.45E+06	7.35E+04	2.71E+04	1.77E+04	1.26E+05	9.79E+03	2.82E+06	2.76E+04	1.46E+05	1.38E+04	6.55E+04	1.35E+05	8.53E+04	2.44E+04	2.93E+05	1.02E+04	1.05E+04	8.32E+03	1.60E+04	6.44E+04	1.60E+05
U50361_s_at	"Calcium, calmodulin-dependent protein kinase II delta mRNA, partial cds"	3.39E+03	3.20E-02	1.97E+02	1.32E+03	1.19E+00	5.90E-02	7.01E-02	5.22E-02	1.01E+03	6.44E-02	1.17E-01	1.08E+04	3.23E-02	4.24E-02	5.19E-02	2.02E-02	1.31E-01	1.73E-02	2.76E-02	3.90E-02	5.97E-02	1.56E-02	7.11E-02	2.74E-01	2.45E-01	1.23E-01	3.19E-02	1.10E-02	2.15E-02	6.20E-01	4.40E+01	7.60E-03	3.07E-03	5.91E-03	3.96E-03	4.30E-03	1.29E-02	1.39E-02	1.80E-02	8.22E-03	5.21E-02	4.88E-02
U50383_at	Retinoic acid-responsive protein (NN8-4AG) mRNA	4.72E+01	7.45E+00	8.62E+02	3.36E+04	7.14E+03	2.65E+02	1.87E+02	1.35E+03	1.70E+03	2.86E-02	4.83E-02	1.96E+03	1.65E+02	3.73E+02	5.88E+00	1.84E+01	4.30E+02	8.46E+01	1.90E+04	1.72E-02	9.23E+02	7.97E-02	8.48E+00	2.72E+04	1.69E+00	2.24E+02	1.49E+01	6.68E+05	2.68E+02	4.06E+03	2.13E+04	4.94E+03	6.76E+00	2.12E-01	1.75E+01	5.60E+03	1.71E+02	7.43E+03	1.57E-01	7.12E+05	6.66E+03	7.68E+02
U50523_at	"BRCA2 region, mRNA sequence CG037"	3.63E+04	3.08E+05	3.01E+03	1.10E+03	2.09E+03	8.30E+00	6.04E-01	9.82E+05	8.36E+03	8.85E-01	4.14E+02	8.29E+02	4.23E+02	1.71E+01	7.77E+03	9.71E+03	5.25E+04	5.49E+03	1.26E+02	1.92E+02	1.19E+03	9.20E+02	4.25E+02	4.16E+03	1.40E+05	2.35E+02	7.51E+01	4.59E+04	9.11E+00	3.70E+03	8.57E+02	1.66E+03	5.16E-01	3.04E+00	2.07E+00	3.11E+02	4.76E+02	2.75E+02	2.29E+04	1.90E+04	2.73E+04	2.96E+04
U50527_s_at	"BRCA2 region, mRNA sequence CG018"	1.06E+07	1.89E+04	2.43E+01	1.40E+04	3.35E+01	1.32E+00	3.71E-02	8.37E+00	5.05E+02	8.80E-03	1.53E-02	5.15E+01	1.31E+02	2.12E+00	5.41E-02	1.49E+03	5.27E+04	2.38E-01	4.63E-02	1.79E-02	3.90E+02	9.83E+01	5.33E-02	1.67E+01	5.26E-01	1.73E-01	6.01E+00	4.10E+05	1.42E+02	4.71E-02	2.05E+02	2.04E+04	3.03E-01	1.52E-01	7.67E+01	7.37E+03	3.27E+03	9.33E+00	2.89E+03	3.89E+02	1.47E+04	2.81E+03
U50531_at	"BRCA2 region, mRNA sequence CG030"	6.17E+03	9.28E-01	2.78E+02	2.82E+02	1.91E-01	9.73E-02	1.62E-02	1.88E-02	6.88E+05	1.67E-02	1.57E-02	1.25E-01	4.94E-02	3.70E-02	6.28E-02	2.41E-02	6.88E-02	1.54E-02	3.16E-02	2.64E-02	1.12E-01	1.43E-02	4.43E-02	3.31E-01	1.01E-01	1.51E-01	1.02E-01	1.74E+02	6.13E-02	8.35E-02	8.82E-02	2.91E-02	9.92E-03	1.82E-02	2.66E-02	2.33E-02	8.30E-02	3.01E-02	3.91E-02	2.62E-02	6.91E-02	3.55E-01
U50534_at	"BRCA2 region, mRNA sequence CG003"	9.09E+03	3.37E+01	2.86E+02	3.81E+03	1.13E+04	3.11E+01	1.09E-01	2.80E-02	7.42E+02	6.21E-01	7.79E+00	1.47E+05	2.20E-02	3.00E-01	4.00E-02	3.84E-02	1.76E+03	1.58E+02	2.94E-02	1.43E-02	8.49E-02	2.03E+01	5.15E-01	1.47E+00	1.47E-01	1.23E+01	5.65E-02	9.47E-02	7.41E-02	1.41E-01	1.43E+03	1.30E-02	7.97E-03	5.02E-02	4.08E-03	7.84E-03	6.62E+04	4.55E-02	3.23E-02	2.99E+01	8.24E+04	4.90E-02
U50535_at	"BRCA2 region, mRNA sequence CG005"	6.01E-01	7.04E-02	5.06E+00	5.22E+00	8.10E-02	9.68E-02	1.64E-01	6.10E-02	9.91E+00	1.13E-01	3.31E-01	1.08E+03	5.34E-02	1.88E-01	1.48E-01	6.91E-02	2.75E+01	3.77E-02	1.32E-01	8.44E-02	1.52E+00	3.67E-02	9.70E-02	2.70E+00	1.66E+01	7.71E+01	4.63E-02	1.08E-01	5.00E+00	1.80E+00	7.26E+02	1.53E-02	1.80E-02	2.85E-02	2.28E-02	2.11E-02	8.35E-01	1.99E-02	7.41E-02	6.02E-02	1.53E+00	1.26E+02
U50553_at	Helicase like protein 2 mRNA	1.32E+05	2.41E+04	5.75E+03	1.98E+04	2.36E+04	7.14E+03	5.39E+03	8.50E-02	1.45E+03	8.77E+03	5.21E+06	1.48E+04	1.54E+05	5.94E+04	1.06E+04	1.02E+04	1.54E+03	1.28E+05	8.45E+03	3.79E+04	6.86E+04	1.22E+05	1.43E+06	3.31E+04	2.28E+04	1.07E+04	1.18E+06	7.51E+04	1.85E+04	6.22E+04	5.21E+03	5.57E+04	4.67E+01	2.65E+03	4.67E-02	4.05E-02	3.93E+05	4.96E-02	2.37E+02	2.66E+06	3.36E+04	2.56E+03
U50648_s_at	Interferon-inducible RNA-dependent protein kinase (Pkr) gene	1.09E-01	2.25E-02	2.04E-02	1.19E+02	3.41E-01	1.74E-02	1.29E-02	1.46E-02	8.22E+00	8.30E-03	2.37E-02	5.57E-02	6.43E-03	1.03E-02	1.00E-02	4.05E-03	2.35E-02	5.04E-03	5.45E-03	7.59E-03	2.36E-02	4.12E-03	2.06E-02	2.83E-02	3.52E-02	3.27E-02	1.33E-02	2.04E-02	1.10E-02	2.14E-02	7.84E-02	3.78E-03	1.52E-03	5.23E-03	3.26E-03	4.66E-03	3.24E-02	9.89E-03	1.34E-02	9.43E-03	1.88E+01	3.33E-02
U50708_at	"BCKDHB Branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)"	5.05E+06	1.07E+04	1.01E+03	1.18E+04	7.71E+02	1.29E+04	1.25E+03	5.62E+01	2.23E+04	3.81E+04	1.77E+03	4.22E+04	3.30E+03	5.34E+03	3.47E+03	6.63E+03	7.26E+05	7.48E+02	5.16E+05	3.13E+04	8.05E+06	1.31E+05	6.88E+03	7.21E+03	5.60E+02	1.34E+03	5.27E+02	4.89E+03	1.51E+03	1.91E+04	1.44E+03	1.25E+04	2.98E+03	1.37E+05	3.35E+03	9.45E+03	5.98E+05	7.15E+04	1.03E+04	8.99E+04	4.88E+04	2.68E+05
U50733_at	Dynamitin mRNA	2.55E+06	6.39E+04	5.17E-02	9.61E+03	3.36E+00	1.13E+04	3.76E-02	4.03E+04	5.21E+03	1.84E-02	3.69E-02	1.34E+07	5.83E-02	6.56E-03	2.41E+00	3.64E-03	1.16E+05	5.17E+03	5.37E-02	7.64E-03	2.96E+06	1.19E+03	2.20E+04	6.11E+05	1.27E+05	8.38E+04	4.36E+04	5.22E+04	3.50E+04	3.07E+05	1.64E+04	6.65E+04	2.08E+04	5.64E+04	7.68E+03	1.95E+04	6.13E+04	1.64E+04	1.90E+05	5.63E+04	2.93E+05	1.45E+05
U50743_at	"Na,K-ATPase gamma subunit mRNA"	1.84E+03	6.79E+01	2.27E+02	5.99E+05	1.62E+03	7.98E-02	4.42E-02	7.18E-02	7.14E+02	1.58E-01	8.08E-02	5.55E+03	7.75E-02	3.19E-01	1.20E+00	7.23E-02	1.62E+01	2.98E-02	4.68E-02	1.87E-02	2.13E+00	1.92E-02	7.55E-02	1.68E+04	9.81E+00	4.54E+00	8.42E-02	2.44E+01	1.79E-01	2.74E+02	5.95E+01	1.39E-02	9.81E-03	3.28E-02	1.12E-02	1.26E-02	7.56E+03	4.09E-02	4.98E-02	1.39E-01	5.03E+03	1.38E-01
U50822_rna1_s_at	Neurogenic helix-loop-helix protein NEUROD (neurod) gene	6.77E+02	2.65E-01	8.98E+03	2.74E+04	1.34E+04	8.84E-02	3.38E+01	4.90E-02	6.83E+03	1.11E+01	1.26E+02	3.92E+02	2.84E+00	7.48E+00	2.60E+00	1.28E-01	6.80E+07	4.61E-02	3.39E+00	1.76E-01	3.52E+04	8.55E-02	6.04E-01	7.85E+05	8.82E+04	2.67E+02	6.86E-02	7.41E-01	1.23E-01	4.68E+03	8.68E+03	4.30E-02	2.52E+00	4.10E-02	2.29E-02	7.77E-02	1.15E-01	1.76E-02	1.96E-01	4.17E-02	4.98E+04	2.65E+05
U50839_at	"G16 protein (g16) mRNA, partial cds"	1.36E+05	2.16E+04	8.15E+03	5.46E+03	8.60E+03	6.57E+04	9.22E+03	1.14E+04	1.72E+04	9.42E+03	1.46E+04	1.84E+05	3.20E+05	5.35E+04	1.63E+04	1.02E+04	2.05E+05	2.53E+05	8.54E+04	1.24E+04	3.71E+04	1.41E+04	7.31E+03	1.41E+04	6.98E+05	1.87E+05	4.97E+04	8.02E+04	6.47E+05	1.24E+05	1.20E+06	4.34E+04	2.63E+04	8.95E+04	1.63E+04	5.87E+05	5.45E+04	7.58E+04	1.68E+05	2.88E+05	3.12E+04	8.41E+04
U50928_at	PKD2 Autosomal dominant polycystic kidney disease type II	3.16E-01	7.69E+01	1.07E+00	3.38E+03	1.85E+03	2.04E-01	8.92E-02	1.64E-02	9.23E+02	1.56E-02	2.40E-02	3.68E+01	9.42E-03	1.56E-01	3.51E-02	9.85E-03	1.42E-01	6.58E-03	3.22E-02	1.29E-02	2.39E-02	1.31E-02	4.65E-02	3.39E+01	1.97E-01	2.24E-01	2.43E-02	1.26E+00	1.22E+04	1.58E+00	2.73E+03	5.76E-03	3.19E-03	3.22E-03	3.29E-03	2.98E-03	3.08E+01	7.91E-03	1.46E-02	1.01E-02	8.95E+01	4.92E-02
U50929_at	Betaine:homocysteine methyltransferase mRNA	7.95E+01	2.49E+00	8.01E-01	1.75E+04	1.25E+00	8.99E-01	5.47E-02	2.00E-02	1.10E+03	2.98E-02	5.11E-02	3.97E+01	4.01E-02	7.18E-01	4.35E-02	2.41E-02	8.25E+01	6.54E-02	1.92E-02	1.83E-02	8.65E-02	2.33E-02	1.02E+00	7.57E-02	1.70E-01	2.15E+01	3.21E-02	4.32E+01	5.85E-02	1.08E-01	2.65E+02	1.99E-02	1.14E-02	1.25E-02	1.14E-02	7.25E-03	3.27E-01	1.96E-02	4.04E-02	2.56E-02	2.71E+04	3.85E+03
U50939_at	Amyloid precursor protein-binding protein 1 mRNA	1.34E+04	1.51E+04	4.07E+06	6.63E+05	6.08E+04	4.22E+02	2.71E+05	1.28E+04	1.19E+05	2.78E+04	4.86E+02	1.15E+07	1.53E+03	1.54E+03	3.42E+04	1.35E+04	2.76E+04	2.10E+02	3.45E+04	1.70E+04	2.04E+04	2.92E+03	9.15E+03	2.58E+07	1.87E+05	1.83E+04	5.18E+04	6.86E+04	8.60E+03	8.19E+03	1.97E+04	2.06E+01	2.36E+03	1.53E+04	1.89E+00	5.45E+03	3.80E+04	7.90E+05	2.14E+06	5.54E+03	5.39E+05	3.63E+05
U50950_at	Infant brain unknown product mRNA	4.77E+06	1.04E-01	1.07E-01	2.56E+05	9.26E+02	1.63E-01	4.50E-02	4.07E-02	5.00E+04	1.61E-02	5.83E-02	4.01E-01	8.78E-03	6.87E-02	1.70E-02	8.57E-03	4.86E-02	6.23E-03	1.30E-02	9.89E-01	3.90E-02	1.29E-02	9.20E-02	4.35E+03	7.48E+00	1.44E+02	2.23E-02	1.41E-02	1.17E-01	4.38E+00	4.86E+01	4.40E-03	2.24E-03	1.29E-02	4.77E-03	3.48E-03	4.22E-02	8.17E-03	1.99E-02	7.25E-03	7.09E+02	3.05E+04
U51003_s_at	DLX-2 (DLX-2) gene	9.05E+03	3.73E+03	4.08E+04	5.37E+03	3.21E+04	7.17E+01	2.66E+05	1.08E-02	1.21E+04	1.28E+04	7.49E+03	9.82E+07	7.30E+00	1.35E+04	4.67E+04	5.06E+04	9.95E+04	3.84E+02	3.29E+03	2.16E+03	2.40E+03	1.22E+03	8.57E+04	1.28E+05	2.26E+04	2.54E+04	2.47E+01	1.12E-02	2.60E-01	1.61E+05	1.84E+04	2.14E+05	1.25E-02	2.18E+04	2.01E-02	1.58E+03	9.36E-03	1.63E+04	4.93E+02	1.22E+01	1.89E+04	3.79E+04
U51004_at	Putative protein kinase C inhibitor (PKCI-1) mRNA	4.96E+05	1.40E+03	2.76E+04	1.29E+04	3.06E+03	2.34E+05	2.77E+03	7.39E+03	7.07E+03	5.02E+05	1.17E+06	8.03E+05	7.45E+02	8.89E+02	1.17E+04	1.51E+02	8.86E+03	1.13E+04	5.90E+02	3.86E+03	8.80E+05	1.12E+03	6.21E+04	1.94E+04	1.66E+04	3.33E+05	7.16E+03	1.03E+03	4.89E+03	9.95E+05	7.64E+05	5.94E+05	5.28E+03	3.82E+03	9.26E+03	4.38E+06	4.26E+03	1.71E+06	1.73E+06	1.98E+04	3.16E+04	2.61E+04
U51010_s_at	"Nicotinamide N-methyltransferase gene, exon 1 and 5' flanking region"	5.72E+05	6.85E+03	2.38E+04	7.34E+04	7.67E+03	4.32E+03	2.95E+04	7.15E+04	4.76E+03	7.84E+04	2.77E+04	2.56E+03	1.67E+04	2.39E+05	1.46E+04	2.51E+04	7.71E+04	6.04E+03	2.78E+06	1.64E+04	2.75E+04	7.75E+04	2.12E+05	1.63E+04	2.29E+06	1.89E+04	7.12E+03	5.35E+05	1.54E+05	1.01E+05	2.19E+08	1.62E+04	6.36E+03	5.17E+03	9.29E+03	1.58E+04	4.65E+04	4.57E+03	7.16E+04	3.70E+03	5.81E+04	9.11E+04
