Description	Accession	Brain_MD_12		Brain_MD_61		Brain_MD_15		Brain_MD_57		Brain_MD_33		Brain_MD_64		Brain_MD_17		Brain_MD_62		Brain_MD_63		Brain_MD_32		Brain_MGlio_1		Brain_MGlio_2		Brain_MGlio_3		Brain_MGlio_4		Brain_MGlio_5		Brain_MGlio_6		Brain_MGlio_7		Brain_MGlio_8		Brain_MGlio_9		Brain_MGlio_10		Brain_Rhab_1		Brain_Rhab_2		Brain_Rhab_3		Brain_Rhab_4		Brain_Rhab_5		Brain_Rhab_6		Brain_Rhab_7		Brain_Rhab_8		Brain_Rhab_9		Brain_Rhab_10		Brain_Ncer_1		Brain_Ncer_2		Brain_Ncer_3		Brain_Ncer_4		Brain_PNET_1		Brain_PNET_2		Brain_PNET_3		Brain_PNET_4		Brain_PNET_5		Brain_PNET_6		Brain_PNET_7		Brain_PNET_8	
DLAT Dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	U79296_at	157	P	146	A	261	P	172	A	214	P	397	P	261	P	1059	P	160	P	290	P	187	A	835	P	202	P	519	A	542	P	182	P	328	P	210	A	390	A	380	P	319	P	481	P	195	P	372	P	449	P	203	A	313	P	301	P	255	P	-20	A	127	A	594	A	746	P	791	P	-58	A	138	A	-259	A	275	P	213	A	431	M	204	A	69	A
Clone 23589 mRNA sequence	U79297_at	958	P	396	P	1126	P	564	P	657	P	710	P	998	P	3891	P	432	P	526	P	1215	P	1010	P	1574	P	1446	P	1050	P	1340	P	558	P	251	A	2051	P	648	P	1282	P	1135	P	462	P	830	P	738	P	287	P	470	P	863	P	847	P	265	P	1032	P	1463	P	2289	P	1816	P	322	P	248	P	298	A	1487	P	292	P	1230	P	1079	P	405	P
"Clone 23803 mRNA, partial cds"	U79298_at	-49	A	-21	A	173	A	84	A	262	A	203	A	102	A	793	A	197	A	160	A	1871	P	398	A	-4	A	2149	P	463	A	1555	P	58	A	186	P	1828	P	808	A	144	A	-10	A	107	A	1504	P	356	P	256	A	116	A	849	P	22	A	-155	A	-6	A	546	A	150	A	1037	A	318	A	275	A	230	A	1089	P	84	A	1019	A	566	A	294	A
"Neuronal olfactomedin-related ER localized protein mRNA, partial cds"	U79299_at	2239	P	1135	P	1057	P	492	P	276	A	387	P	3644	P	1499	P	46	A	1477	P	1134	P	906	P	1843	P	6370	P	688	P	571	P	1048	P	663	P	4639	P	1245	P	9676	P	-273	P	-93	A	1011	P	340	A	400	P	19	P	782	P	-156	M	361	P	2719	P	337	M	4991	P	4782	P	174	A	169	M	711	A	563	P	440	A	1888	P	4592	P	-58	A
Clone 23629 mRNA sequence	U79300_at	-61	A	40	A	-33	A	34	A	63	A	30	A	64	A	-141	A	-40	A	-2	A	74	A	49	A	24	A	-35	A	-56	A	10	A	-36	A	-93	A	65	A	-173	A	-57	A	-33	A	-32	A	14	A	-40	A	57	A	10	A	-3	A	6	A	55	A	6	A	-257	A	102	A	118	A	-147	A	-70	A	278	A	13	A	108	A	4	A	-116	A	67	A
Clone 23842 mRNA sequence	U79301_at	3	A	-73	A	66	A	22	A	182	P	-37	A	-16	A	-7	A	48	A	-44	A	47	A	-185	A	-43	A	-64	A	-22	A	-142	A	0	A	-28	A	-59	A	131	A	-35	A	28	A	16	A	54	A	-47	A	-21	A	46	A	42	A	214	P	65	A	42	A	-265	A	73	A	-243	A	58	A	-101	A	-57	A	29	A	19	A	49	A	-157	A	-32	A
"Clone 23855 mRNA, partial cds"	U79302_at	-66	A	-28	A	64	A	36	A	-13	A	-72	A	-82	A	-131	A	-17	A	-367	A	130	A	76	A	-105	A	106	A	49	A	-520	A	-175	A	-329	A	-151	A	-361	A	-246	A	-100	A	-54	A	17	A	-275	A	59	A	-78	A	32	A	82	A	-165	A	97	A	-691	A	426	A	-2331	A	215	A	-35	A	577	A	-128	A	-89	A	2	A	408	A	699	A
Clone 23882 mRNA	U79303_at	350	A	382	A	243	A	192	A	164	A	491	A	1005	A	-379	A	94	A	1687	A	1109	A	1775	A	2098	A	915	A	854	A	3215	A	2077	A	1275	M	1649	A	1160	A	880	P	1145	P	188	P	1005	A	1115	A	912	A	452	A	421	M	427	P	972	A	704	P	1334	A	1394	P	2630	A	237	A	252	A	451	A	1147	P	1114	A	1699	A	997	A	2412	A
"Clone 23909 mRNA, partial cds"	U79304_at	-57	A	-77	A	-47	A	-50	A	-257	A	-51	A	-10	A	-35	A	-19	A	-79	A	-60	A	-103	A	-346	A	23	A	-230	A	-338	A	-67	A	-129	A	-81	A	-23	A	-90	A	-2	A	-99	A	-17	A	-143	A	-9	A	-11	A	-67	A	-19	A	-255	A	-103	A	-860	A	-89	A	-213	A	-116	A	72	A	125	A	-103	A	-163	A	-99	A	23	A	-434	A
Orphan G-protein coupled receptor Dez isoform a mRNA	U79526_at	21	A	-134	A	-77	A	-16	A	95	A	56	A	-87	A	85	A	-23	A	72	A	29	A	-87	A	158	A	200	A	223	A	112	A	-9	A	234	A	43	A	465	A	34	A	69	P	33	A	107	A	156	A	117	A	29	A	-40	A	-34	A	-80	A	-6	A	-24	A	125	A	3	A	-89	A	-57	A	-288	A	310	A	59	A	34	A	157	A	-256	A
Reelin (RELN) mRNA	U79716_at	413	A	2785	P	3476	P	2552	P	632	A	4441	P	12180	P	31865	P	540	P	1697	P	899	A	1726	P	1501	P	1027	P	599	A	291	A	549	P	251	A	1231	A	831	A	253	A	220	A	313	A	598	P	341	A	241	A	457	P	2212	P	190	A	310	A	7158	P	9686	P	8960	P	5820	P	371	A	2080	P	769	A	694	A	4	A	1580	P	1155	A	509	A
Endonuclease III homolog mRNA	U79718_at	880	P	483	A	530	A	508	P	324	A	851	A	463	A	1141	A	620	P	788	A	1003	A	906	A	1001	A	1487	P	877	A	389	A	1172	A	572	A	841	A	972	A	880	P	798	P	894	P	1048	P	663	P	320	A	792	P	372	A	531	P	260	A	1639	A	209	A	1586	A	1964	A	945	P	603	A	961	A	455	A	193	A	1119	A	612	A	1387	A
A33 antigen precursor mRNA	U79725_at	266	A	1043	A	401	A	428	A	-221	A	408	A	440	M	1063	A	282	A	543	A	1152	A	1240	A	1506	A	625	A	1209	A	291	A	474	A	372	A	293	A	455	A	98	A	311	A	67	A	489	A	594	A	265	A	107	A	57	A	149	A	265	A	1050	A	707	A	314	A	1813	A	250	A	221	M	2798	A	1264	A	99	A	774	A	1727	A	233	A
Huntingtin interacting protein (HIP1) mRNA	U79734_at	52	A	-179	A	-51	A	-89	A	-182	A	-118	A	32	A	-24	A	-124	A	-313	A	498	A	-196	A	-197	A	389	A	64	A	-91	A	189	A	-121	A	135	A	164	A	203	A	131	A	-70	A	1895	P	32	A	-62	A	-223	A	117	A	-66	A	-1158	A	-230	A	-3295	A	-971	A	-1225	A	-8	A	146	A	1144	A	19	A	-64	A	275	A	548	A	670	A
Basic-leucine zipper nuclear factor (JEM-1) mRNA	U79751_at	-68	A	-160	A	-25	A	22	A	-77	A	-69	A	30	A	-56	A	-37	A	-137	A	-139	A	-81	A	-168	A	-5	A	-188	A	-80	A	-67	A	-68	A	-54	A	-305	A	-70	A	-25	A	-44	A	-53	A	-48	A	43	A	-48	A	23	A	-1	A	-95	A	285	A	-466	A	-323	A	-453	A	-58	A	-72	A	38	A	-228	A	-168	A	-263	A	-361	A	-101	A
"Btf2p44 gene (basic transcription factor 2 p44) extracted from Human basic transcription factor 2 p44 (btf2p44) gene, partial cds, neuronal apoptosis inhibitory protein (naip) and survival motor neuron protein (smn) genes"	U80017_rna1_at	282	P	528	P	346	P	463	P	365	P	722	P	218	A	1226	P	266	P	145	A	40	A	109	A	168	A	224	A	61	A	382	P	423	P	66	A	320	A	141	A	758	P	1336	P	1388	P	712	P	912	P	388	A	732	P	394	P	444	P	260	A	12	A	32	A	419	P	88	A	13	A	136	A	250	A	1988	P	74	A	756	P	40	A	87	A
"Naip gene (neuronal apoptosis inhibitory protein) extracted from Human basic transcription factor 2 p44 (btf2p44) gene, partial cds, neuronal apoptosis inhibitory protein (naip) and survival motor neuron protein (smn) genes"	U80017_rna2_at	60	A	148	P	169	P	45	P	54	A	220	P	172	M	981	P	92	P	314	A	279	P	109	M	389	A	307	A	175	A	174	A	254	P	74	P	293	P	42	A	716	P	322	P	860	P	207	P	477	A	737	P	-10	A	121	P	200	P	691	P	467	A	-8	P	240	A	-114	A	49	A	148	A	-19	A	534	P	99	A	337	P	-52	A	67	A
"Smn gene (survival motor neuron protein SMN) extracted from Human basic transcription factor 2 p44 (btf2p44) gene, partial cds, neuronal apoptosis inhibitory protein (naip) and survival motor neuron protein (smn) genes"	U80017_rna3_at	579	P	287	P	515	P	498	P	331	P	766	P	721	P	1407	P	304	P	520	P	719	P	415	A	568	P	619	P	659	P	604	P	767	P	277	P	716	P	423	A	682	P	1279	P	2244	P	758	P	1526	P	541	P	1444	P	1055	P	582	P	712	P	437	P	844	P	660	P	867	P	465	A	599	P	769	A	1713	P	317	P	838	P	1108	P	370	A
"Mitochondrial intermediate peptidase precursor (MIPEP) mRNA, mitochondrial gene encoding mitochondrial protein"	U80034_at	-69	A	-186	A	-154	A	-76	A	-230	A	72	A	-82	A	-503	A	-26	A	-496	A	-205	A	-245	A	-57	A	-484	A	-567	A	-276	A	-144	A	26	A	-548	A	-601	A	-52	A	-159	A	-62	A	73	A	465	P	-83	A	-43	A	3	A	115	P	-140	A	-346	A	-723	A	-605	A	-1540	A	-44	A	-210	A	-240	A	-13	A	-84	A	-233	A	-379	A	-518	A
"ACO2 Aconitase 2, mitochondrial"	U80040_at	1522	P	1720	P	1443	P	1121	P	630	P	2606	P	1403	P	3902	P	916	P	1604	P	1711	P	5266	P	3037	P	2308	P	2208	P	2042	P	3949	P	552	P	6506	P	5879	P	2227	P	2947	P	3662	P	1418	P	2707	P	831	P	1848	P	859	P	1477	P	696	P	5415	P	2893	P	3885	P	3172	P	1021	P	2626	P	1807	A	2656	P	723	A	1774	P	4026	P	2392	A
Tip associating protein (TAP) mRNA	U80073_at	785	P	656	P	545	P	585	P	408	P	889	P	489	P	1378	P	393	P	516	P	356	A	1174	P	683	P	1127	P	1055	A	954	P	645	P	591	P	1622	P	521	A	1126	P	1391	P	727	P	892	P	937	P	586	P	817	P	924	P	660	P	165	P	1627	P	337	A	1452	P	1586	P	730	A	1114	P	615	A	1474	P	614	P	838	P	1149	A	938	P
FLII gene	U80184_rna1_at	-323	A	-956	A	267	P	-196	A	-826	A	-792	A	-561	A	-1839	A	-23	A	-932	A	-1105	A	-2152	A	-1930	A	-1588	A	-1930	A	-808	A	-871	A	-653	A	-1367	A	-1767	A	-6	A	1510	P	445	A	351	A	677	A	-23	A	272	A	194	P	936	P	100	A	-1123	A	-1800	A	-2224	A	-1044	A	-488	A	254	A	-2211	A	-408	A	-767	A	-712	A	-560	A	-1815	A
Transcription factor SIM2 long form mRNA	U80456_at	-129	A	-238	A	432	P	-46	A	-127	A	-339	A	-427	A	-287	A	-8	A	-420	A	-160	P	-81	A	-433	A	-112	A	84	A	342	A	-180	A	-16	A	-59	A	47	A	-167	A	10	A	-69	A	-71	A	111	A	-249	A	-113	A	55	A	97	A	35	A	-230	A	-675	A	48	A	-748	A	-398	A	-384	A	-1567	A	-536	A	-262	A	-588	A	-980	A	-160	A
Transcription factor SIM2 long form mRNA	U80457_at	-76	A	-580	A	-123	A	341	A	-70	A	660	A	529	A	513	A	311	A	1019	A	1308	A	-60	A	-885	A	-236	A	1424	A	14	A	1141	A	939	P	1302	A	-1024	A	203	A	188	A	541	A	665	A	558	A	9	A	-202	A	-28	A	-26	A	-120	A	-1232	A	635	A	400	A	2683	A	-89	A	250	A	-1067	A	-324	A	842	A	-42	A	-1768	A	1267	A
Thymidine kinase 2 (TK2) mRNA	U80628_at	-23	A	16	A	-86	A	161	A	93	A	-3	A	-325	A	49	A	-85	A	136	A	-81	A	92	A	-192	A	-147	A	-220	A	-61	A	121	A	-159	A	439	A	-14	A	371	A	167	P	-93	A	427	A	465	A	35	A	168	A	276	P	-27	A	561	P	-261	A	-217	A	105	A	252	A	85	A	-33	A	-625	A	-179	A	252	A	66	A	-367	A	492	A
Androgen regulated homeobox protein (NKX3.1) mRNA	U80669_at	-217	A	-262	A	-103	A	-51	A	127	A	-190	A	320	A	-329	A	117	A	404	A	550	A	1354	A	1458	A	-602	A	649	A	-218	A	580	A	168	A	1041	A	996	A	-74	A	-193	A	230	A	73	A	258	A	-186	A	-186	A	-213	A	-93	A	-20	A	30	A	-104	A	67	A	670	A	-40	A	287	A	1038	A	-264	A	-361	A	-253	A	320	A	684	A
Lysophosphatidic acid receptor homolog mRNA	U80811_at	-39	A	-82	A	-81	A	-128	A	-388	A	-267	A	-109	A	-14	A	-72	A	5	A	-146	A	-453	A	-760	A	-70	A	-396	A	-54	A	76	A	265	P	-482	A	-343	A	-147	A	-40	A	164	A	5605	P	-90	A	-7	A	991	P	711	P	48	A	-235	A	54	A	-450	A	-262	A	-693	A	-228	A	-90	A	-471	A	-158	A	-217	A	-409	A	-122	A	-221	A
"SNRPN mRNA, 3' UTR, partial sequence"	U81001_at	1104	P	1744	P	1219	P	3489	P	1088	P	3748	P	2359	P	4926	P	401	P	2694	P	2352	P	748	A	4149	P	1204	A	681	A	375	A	1183	A	56	A	4227	P	1616	A	1430	P	1493	P	1432	P	1136	P	294	A	656	P	725	P	1416	P	1433	P	4292	P	2719	P	4059	P	11457	P	12619	P	1657	P	771	P	1057	A	2542	P	59	A	2555	P	2112	P	1017	P
P76 mRNA	U81006_at	758	P	233	P	511	P	569	P	150	A	1095	P	1075	P	2640	P	362	P	534	P	356	P	1147	P	659	A	1045	P	1018	P	1434	A	1242	P	1232	P	933	P	455	A	2291	P	3105	P	1280	P	2679	P	4315	P	744	P	1658	P	1820	P	1225	P	-50	A	424	A	-289	A	910	P	354	A	58	A	167	A	836	P	2084	P	34	A	853	P	390	A	740	P
EPLG5 Eph-related receptor tyrosine kinase ligand 5	U81262_at	-38	A	68	A	-71	A	93	P	-86	A	-41	A	37	A	-170	A	-16	A	-216	A	121	A	-71	A	-149	A	29	A	213	A	112	A	105	A	228	P	-222	A	-126	A	73	A	55	A	-131	A	-72	A	-95	A	-47	A	-38	A	-48	A	13	A	-160	A	-18	A	-321	A	0	A	-804	A	-44	A	99	A	221	A	648	P	-19	A	-153	A	-157	A	276	A
Placental equilibrative nucleoside transporter 1 (hENT1) mRNA	U81375_at	588	P	1508	P	467	A	839	P	1435	P	507	M	379	A	1414	P	1390	P	851	P	660	A	2141	P	1612	P	1830	P	1055	M	1026	P	551	M	973	P	900	A	1113	A	1246	P	4067	P	1479	P	7563	P	1652	P	730	P	362	P	542	P	1232	P	656	A	1238	M	1189	A	1452	A	3254	P	985	P	849	P	557	A	1719	P	817	A	672	A	968	A	1538	A
Endometrial bleeding associated factor mRNA	U81523_at	241	P	-526	A	36	A	-49	A	-162	A	15	A	-75	A	358	A	37	A	-27	A	-85	A	-1802	A	-861	A	-348	A	-242	A	-138	A	108	A	-82	A	-938	A	-1457	A	51	A	494	A	164	A	159	A	37	A	433	A	-1	A	103	A	182	A	-125	A	-886	A	-1446	A	-285	A	-555	A	-362	A	-239	A	-1067	A	-414	A	-336	A	687	A	-1254	A	-75	A
CaM kinase II isoform mRNA	U81554_at	1164	P	243	P	430	P	778	P	337	M	613	P	1248	P	2084	P	384	P	870	P	732	P	710	P	433	M	720	P	884	P	2370	P	659	P	500	P	1150	P	324	A	1175	P	1839	P	1494	P	1932	P	1840	P	910	P	1163	P	999	P	789	P	1113	P	783	P	-32	A	474	P	170	A	936	P	616	P	-9	A	735	P	272	A	875	P	799	A	454	P
Hypothetical protein A4 mRNA	U81556_at	1368	P	377	P	1788	P	1760	P	1235	P	2724	P	1566	P	3813	P	65	A	2658	P	1860	P	2835	P	3947	P	3849	P	4480	P	3929	P	2338	P	2514	P	3543	P	1701	P	4908	P	6190	P	2336	P	4950	P	4958	P	3312	P	3350	P	4594	P	3826	P	2522	P	2149	P	4067	P	5809	P	7416	P	1214	P	1356	P	759	A	6874	P	1808	P	1754	P	-35	A	3631	P
Homeodomain protein HOXB13 mRNA	U81599_at	45	A	365	A	302	P	246	P	493	P	407	A	294	P	790	P	129	P	355	A	694	P	1300	P	1208	P	590	P	1204	P	622	P	688	P	688	P	900	A	648	A	337	M	1176	P	356	P	464	P	616	P	177	A	436	P	213	P	793	P	546	P	649	P	1278	A	628	A	926	P	528	P	272	A	1259	A	743	P	391	A	1002	P	496	A	1075	P
"Paired-like homeodomain protein PRX-2 mRNA, partial cds"	U81600_at	432	A	1185	A	443	A	709	A	837	A	838	A	833	A	1775	A	490	A	602	A	1569	A	3911	A	2531	A	2267	A	2386	A	229	A	1652	A	1445	A	1861	A	3186	A	1166	A	1939	P	618	A	3896	P	1328	A	1233	P	1825	P	970	P	961	P	1654	P	1262	A	8721	P	1958	A	2686	A	510	A	-258	A	3433	A	1547	A	1174	A	2126	A	11	A	3561	A
GRAVIN	U81607_at	83	A	465	P	250	P	271	P	148	A	148	A	52	A	425	M	391	P	149	A	151	A	-38	A	312	A	507	P	1112	P	924	P	573	P	989	P	743	P	122	A	968	P	1181	P	202	P	679	P	745	P	534	P	323	P	792	P	992	P	-40	A	2203	P	1905	P	1808	P	1346	P	340	A	1093	P	-230	A	27	A	198	A	74	A	245	A	821	A
Wnt10B mRNA	U81787_at	80	A	550	A	193	A	185	A	283	A	270	A	187	A	595	A	124	A	369	A	333	A	207	A	375	A	761	A	371	A	356	A	153	A	180	A	385	A	860	A	88	A	324	A	131	A	300	A	317	A	160	A	107	A	92	A	105	P	330	A	607	A	-474	A	567	A	1622	A	385	A	233	A	19	A	901	A	-257	A	290	A	787	A	515	A
Phosphatidylinositol 4-kinase	U81802_at	1301	P	1255	P	1261	P	552	P	442	A	1270	P	2084	P	4242	P	590	P	1259	P	1901	P	2420	P	1752	P	2379	P	2792	P	1864	P	2550	P	676	P	4264	P	1903	P	1847	P	1291	P	875	P	1620	P	1980	P	476	P	1420	P	1239	P	634	P	-476	A	2471	P	313	A	1917	P	1691	P	1075	M	1608	P	1711	P	2024	P	312	A	2627	P	3022	P	2523	P
Endothelial PAS domain protein 1 (EPAS1) mRNA	U81984_at	24	A	354	A	557	A	807	A	-401	A	-222	A	1888	A	857	A	460	A	222	A	-408	A	-868	A	346	A	1251	A	99	A	833	A	-94	A	230	A	249	A	352	A	506	A	196	A	52	A	1034	A	110	A	723	A	263	A	163	A	25	A	160	A	679	A	1173	A	839	A	886	A	255	A	223	A	-855	A	231	A	-703	A	947	A	-17	A	-14	A
Heme A: farnesyltransferase (COX10) gene promoter region and	U82010_rna1_at	690	P	996	P	648	P	401	P	545	P	1012	P	465	A	1509	P	423	P	825	P	1371	P	1890	P	1309	M	1617	P	1115	P	965	P	956	P	556	P	1915	P	2021	P	847	P	1346	P	1280	P	1245	P	954	P	548	P	913	P	713	P	659	P	626	M	1797	P	1913	P	1750	P	2154	P	1043	A	905	P	1625	A	1533	P	634	P	1193	P	2573	P	1582	P
Tumor susceptiblity protein (TSG101) mRNA	U82130_at	512	P	219	A	493	P	429	P	241	P	529	P	326	P	1655	P	249	P	424	P	674	P	721	P	317	A	673	P	817	P	247	A	342	M	236	P	624	M	159	A	549	P	1235	P	628	P	1125	P	665	P	229	P	724	P	605	P	549	P	-80	A	698	P	72	A	775	P	374	A	-174	A	405	P	-86	A	493	P	-34	A	610	P	729	M	233	A
Frizzled homolog (FZD3) mRNA	U82169_at	-95	A	868	A	283	A	305	A	333	A	351	A	274	A	365	A	33	A	-44	A	184	A	2387	A	293	A	560	A	123	A	353	A	-4	A	6	A	748	A	2176	A	-131	A	-66	A	-27	A	371	A	307	A	273	A	28	A	9	A	103	A	350	A	1845	A	1245	A	1195	A	1051	A	524	A	28	A	1644	A	226	A	-297	A	250	A	571	A	565	A
"ARG2 Arginase, type II (non-hepatic)"	U82256_at	148	A	214	A	134	A	71	A	-182	A	37	A	157	A	460	A	85	A	218	A	367	A	-16	A	96	A	253	A	384	A	-54	A	245	A	22	A	477	A	28	A	-40	A	84	A	156	A	176	A	144	A	134	A	84	A	-26	A	41	A	210	A	206	A	200	A	397	A	1031	A	67	A	312	A	788	A	340	A	173	A	106	A	752	A	311	A
Immunoglobulin-like transcript 1 mRNA	U82275_at	-131	A	59	A	31	A	2	A	-271	A	-124	A	-37	A	-340	A	-35	A	-152	A	-358	A	-180	A	-370	A	-283	A	-173	A	-451	A	-144	A	8	A	-227	A	-296	A	56	A	24	A	-40	A	89	A	-156	A	-50	A	-46	A	0	A	-58	A	-145	A	12	A	-836	A	64	A	-420	A	-76	A	-10	A	278	A	-155	A	-34	A	19	A	-35	A	-145	A
"Unknown protein mRNA, partial cds"	U82303_at	289	A	568	A	202	M	292	P	362	A	570	P	338	P	1538	M	304	P	587	M	496	P	639	A	486	A	578	P	522	A	276	A	551	A	174	A	656	A	573	A	321	A	431	P	352	P	390	P	379	M	210	P	235	P	188	P	178	M	115	A	461	A	1302	A	2276	P	2837	P	250	A	405	P	1086	A	929	A	193	A	602	A	239	A	623	A
"Unknown protein mRNA, partial cds"	U82306_at	32	A	-273	A	-18	A	120	A	-75	A	333	A	-159	A	-53	A	23	A	-199	A	-153	A	98	A	495	A	194	A	44	A	-14	A	-263	A	109	A	341	A	197	A	53	A	0	A	62	A	-44	A	-87	A	16	A	-3	A	-26	A	-20	A	411	A	-91	A	-24	A	403	A	-249	A	-98	A	28	A	201	A	234	A	-252	A	-109	A	-396	A	314	A
"Unknown protein mRNA, partial cds"	U82310_at	130	A	259	A	139	A	133	A	118	A	200	A	93	A	3	A	30	A	34	A	191	A	551	A	611	A	360	A	322	A	345	A	330	A	204	A	564	A	611	A	53	A	-56	A	-39	A	121	A	140	A	76	A	79	A	99	A	26	A	290	A	230	A	418	A	474	A	1060	A	156	A	357	A	519	A	138	A	99	A	377	A	215	A	154	A
"Unknown protein mRNA, partial cds"	U82311_at	948	P	2049	A	1268	A	1123	A	1495	A	1599	A	1146	A	3207	A	610	A	1952	A	3008	A	4758	A	4231	A	2958	A	3241	P	1627	M	2545	P	1882	A	3787	P	4009	P	1240	A	1055	P	1365	P	1833	A	2022	A	1135	P	1330	P	838	A	805	P	862	M	2137	A	4967	A	5430	A	7455	A	797	A	934	A	4269	P	2048	A	1297	A	2181	A	2678	P	2917	A
"Unknown protein mRNA, partial cds"	U82313_at	-73	A	89	A	0	A	19	A	-93	A	-97	A	-134	A	-85	A	-46	A	-114	A	-207	A	-27	A	-365	A	23	A	-356	A	-243	A	-193	A	-135	A	-151	A	-272	A	-36	A	35	A	-50	A	-65	A	-62	A	-11	A	-41	A	9	A	-5	A	50	A	-169	A	-691	A	-240	A	-328	A	156	A	-109	A	-519	A	-114	A	-203	A	-238	A	-250	A	-282	A
Clone YDD19 mRNA sequence	U82319_at	245	P	21	A	88	A	113	P	73	A	146	A	171	A	432	P	94	A	267	A	180	A	240	A	274	A	307	A	369	A	32	A	321	P	143	P	227	M	47	A	267	P	241	P	127	A	302	P	343	P	26	A	414	P	174	A	25	A	75	A	-24	A	514	M	144	A	374	A	35	A	105	A	394	A	313	P	89	A	151	M	291	A	247	P
"Unknown protein mRNA, partial cds"	U82320_at	-387	A	-786	A	-427	A	-321	A	-773	A	-599	A	-491	A	-659	A	-325	A	-945	A	-1019	A	-1485	A	-1660	A	-1157	A	-1952	A	-1023	A	-900	A	-753	A	-1372	A	-1090	A	-439	A	-441	A	-686	A	-527	A	-689	A	-256	A	-444	A	-128	A	-252	A	-1042	A	-570	A	-1334	A	-753	A	-2525	A	-447	A	-401	A	-1490	A	-1054	A	-658	A	-411	A	-1196	A	-1413	A
Clone 14.9B mRNA sequence	U82321_at	3	A	70	M	95	A	41	A	-25	A	-127	A	35	A	46	A	-5	A	-181	A	33	A	49	A	-534	A	218	A	-175	A	-222	A	-63	A	-216	A	108	A	98	A	-96	A	90	A	-94	A	70	A	-6	A	-40	A	-8	A	-34	A	47	A	-220	A	-66	A	-136	A	-243	A	-22	A	-210	A	-142	A	57	A	-40	A	118	A	-27	A	-134	A	-393	A
Tubby related protein 1 (TULP1) mRNA	U82468_at	-669	A	-1893	A	-996	A	-787	A	-1262	A	-1222	A	105	P	-2669	A	-739	A	-2239	A	-3437	A	-5026	A	-4876	A	-2840	A	-3385	A	-1340	A	-2736	A	-1443	A	-4883	A	-4295	A	-814	A	67	A	-1318	A	-1260	A	-933	A	-1238	A	-700	A	-665	A	-262	A	-1353	A	-1086	A	-5104	A	-2202	A	-5994	A	-1343	A	-1118	A	-5972	A	-2566	A	-866	A	-2521	A	-1161	A	-5193	A
GDI-dissociation inhibitor RhoGDIgamma mRNA	U82532_at	371	P	-28	A	-49	A	38	A	168	A	-112	A	54	A	393	A	-51	A	-305	A	-791	A	-169	A	-144	A	-183	A	-797	A	-171	A	-501	A	-204	A	-493	A	28	A	59	A	195	A	-122	A	343	A	-215	A	-38	A	-1	A	74	A	11	A	-310	A	279	P	1527	A	496	A	170	A	-103	A	-138	A	-702	A	-65	A	-198	A	-277	A	145	M	-553	A
Fatty acid amide hydrolase mRNA	U82535_at	87	A	-236	A	128	A	-71	A	-2	A	231	A	-148	A	184	A	147	A	54	A	105	A	535	A	423	A	247	A	56	A	-356	A	-130	A	-30	A	526	A	549	A	-96	A	-135	A	-81	A	-41	A	-160	A	246	A	-19	A	21	A	-5	A	-15	A	698	P	353	A	1054	A	302	A	-13	A	-2	A	-96	A	-54	A	-118	A	-126	A	706	A	224	A
DNA-binding protein ABP/ZF mRNA	U82613_at	129	A	103	A	333	A	275	A	139	A	293	A	290	A	1361	A	-309	A	229	A	198	A	415	A	389	A	-224	A	-889	A	-76	A	378	A	-228	A	309	A	921	A	-173	A	48	A	306	A	273	A	296	A	93	A	253	A	-78	A	231	A	-100	A	564	A	811	A	1471	A	-413	A	49	A	208	A	644	A	730	A	-99	A	496	A	239	A	116	A
"SHOX gene (SHOXb) extracted from Human shox gene, alternatively spliced products"	U82668_rna1_at	-6	A	-92	A	16	A	49	A	89	A	1	A	10	A	-28	A	0	A	-103	A	-58	A	-169	A	-101	A	-29	A	-101	A	-254	A	-87	A	-18	A	-135	A	-51	A	-88	A	558	P	-59	A	279	A	-3	A	-91	A	109	A	44	A	-27	A	-65	A	-84	A	289	A	80	A	-249	A	71	A	-124	A	-288	A	-35	A	-113	A	-133	A	-17	A	-14	A
"HSP1-A gene extracted from Homo sapiens cosmids Qc14E2, Qc12H12, Qc11F9, Qc10G9, LA1733 and Qc17B8 from Xq28, complete sequence"	U82671_cds2_at	48	A	391	A	36	P	164	A	159	P	137	A	52	A	-49	A	26	A	-139	A	421	A	1955	A	298	A	318	A	138	A	193	A	144	A	163	A	737	A	470	A	41	A	348	A	0	A	103	P	158	M	-74	A	-29	P	55	A	51	P	55	A	552	A	-265	A	25	A	-62	A	116	A	155	A	153	A	2490	P	148	A	143	A	-367	A	381	A
Homeodomain protein HoxA9 mRNA	U82759_at	-55	A	474	A	670	P	138	M	666	P	101	A	-74	A	56	A	144	P	1339	P	-51	A	824	A	702	A	194	M	-223	A	-7	A	222	A	382	A	786	P	1546	A	-94	A	213	A	308	A	704	A	295	A	160	A	-46	A	146	A	66	A	371	A	922	A	-72	A	304	A	1652	A	492	A	157	A	538	A	160	A	782	A	7	A	-583	A	472	A
Uncoupling protein 3 mRNA	U82818_at	301	A	-476	A	3	A	146	A	-426	A	199	A	-124	A	581	A	26	A	72	A	295	A	-846	A	-919	A	342	A	56	A	-262	A	76	A	-129	A	-341	A	75	A	-42	A	80	A	-44	A	245	A	-5	A	141	A	-80	A	7	A	-57	A	611	A	321	A	-1101	A	-371	A	-95	A	-241	A	-78	A	413	A	19	A	99	A	-573	A	-460	A	-110	A
